check_key,field_key,answer_option,test_bundle,trigger_type,trigger_key,priority_weight,merge_group,max_occurrences,explanation_template,mechanism,test_focus,priority_rationale,created_at,updated_at
preventive_baseline,age_range,18–24,,age,age_range|18–24|,2,context,1,"At 18–24, a focused baseline helps establish your personal reference range so future changes are easier to interpret.",,"blood count, inflammation, kidney/liver context, and basic metabolic markers",,46136.663194444445,46136.663194444445
preventive_baseline,age_range,25–29,,age,age_range|25–29|,2,context,1,"At 25–29, a focused baseline helps establish your personal reference range so future changes are easier to interpret.",,"blood count, inflammation, kidney/liver context, and basic metabolic markers",,46136.663194444445,46136.663194444445
preventive_baseline,age_range,30–34,,age,age_range|30–34|,2,context,1,"At 30–34, a focused baseline helps establish your personal reference range so future changes are easier to interpret.",,"blood count, inflammation, kidney/liver context, and basic metabolic markers",,46136.663194444445,46136.663194444445
preventive_baseline,age_range,35–39,,age,age_range|35–39|,2,context,1,"At 35–39, a focused baseline helps establish your personal reference range so future changes are easier to interpret.",,"blood count, inflammation, kidney/liver context, and basic metabolic markers",,46136.663194444445,46136.663194444445
preventive_baseline,age_range,40–44,,age,age_range|40–44|,2,context,1,"At 40–44, a focused baseline helps establish your personal reference range so future changes are easier to interpret.",,"blood count, inflammation, kidney/liver context, and basic metabolic markers",,46136.663194444445,46136.663194444445
preventive_baseline,age_range,45–49,,age,age_range|45–49|,2,context,1,"At 45–49, a focused baseline helps establish your personal reference range so future changes are easier to interpret.",,"blood count, inflammation, kidney/liver context, and basic metabolic markers",,46136.663194444445,46136.663194444445
preventive_baseline,age_range,50–54,,age,age_range|50–54|,2,context,1,"At 50–54, a focused baseline helps establish your personal reference range so future changes are easier to interpret.",,"blood count, inflammation, kidney/liver context, and basic metabolic markers",,46136.663194444445,46136.663194444445
preventive_baseline,age_range,55+,,age,age_range|55+|,2,context,1,"At 55+, a focused baseline helps establish your personal reference range so future changes are easier to interpret.",,"blood count, inflammation, kidney/liver context, and basic metabolic markers",,46136.663194444445,46136.663194444445
preventive_baseline,goals,General preventive health,,goal,goals|General preventive health|,3,driver,1,"Because you selected general preventive health, this baseline focuses on common markers that can change before symptoms appear.",,core preventive blood markers,,46136.663194444445,46136.663194444445
preventive_baseline,goals,I’m not sure,,goal,goals|I’m not sure|,2,driver,1,"Because you are not sure where to start, this check gives a focused first look without overwhelming you with specialist testing.",,broad but limited baseline,,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,More than 12 months ago,Blood sugar / HbA1c,recency,last_tests|More than 12 months ago|Blood sugar / HbA1c,3,modifier,1,"Because your blood sugar / hba1c testing is more than 12 months ago, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
preventive_baseline,last_tests,Never / not sure,Blood sugar / HbA1c,recency,last_tests|Never / not sure|Blood sugar / HbA1c,4,modifier,1,"Because your blood sugar / hba1c testing is never / not sure, this check helps refresh the information needed to interpret your current risk and next steps.",,baseline recency,Overdue or unknown testing increases current-month relevance.,46136.663194444445,46136.663194444445
