biomarker_name,why_important_en,why_important_de,where_to_go_en,where_to_go_de,wait_time_en,wait_time_de,covered_by_gkv,covered_by_pkv
Chlamydia (Urine),"At your age, this is a simple 'peace of mind' test. Chlamydia often has no symptoms, so checking once a year ensures you protect your long-term fertility and health without any guesswork.","In Ihrem Alter gibt Ihnen dieser einfache Test Sicherheit. Da Chlamydien oft keine Symptome verursachen, schützt ein jährlicher Check Ihre Fruchtbarkeit und Gesundheit.",Gynecologist (Frauenarzt) or General Practitioner (Hausarzt),Frauenarzt oder Hausarzt,1-4 weeks,1-4 Wochen,Yes,Yes
Dental,"Beyond a bright smile, regular checks prevent inflammation that can affect your whole body. Plus, keeping your 'Bonusheft' stamped every year saves you significant costs on future dental work.","Neben einem strahlenden Lächeln verhindern regelmäßige Kontrollen Entzündungen, die den ganzen Körper belasten können. Zudem spart ein gepflegtes Bonusheft Ihnen später viel Geld.",Dentist (Zahnarzt),Zahnarzt,2-6 weeks,2-6 Wochen,Yes,Yes
Physical,This is your regular 'health baseline' check. It’s a moment for you and your doctor to look at the big picture—like blood pressure and heart health—to keep you feeling your best as you age.,"Dies ist Ihr regelmäßiger Gesundheits-Check-up. Ein Moment, in dem Sie und Ihr Arzt das Gesamtbild – wie Blutdruck und Herzgesundheit – im Blick behalten.",General Practitioner (Hausarzt),Hausarzt,1-3 weeks,1-3 Wochen,Yes,Yes
Pap Smear,"Your body is excellent at renewal, but sometimes small changes happen unnoticed. This routine cell-check ensures any shifts are caught early when they are incredibly easy to manage.","Ihr Körper erneuert sich ständig, aber manchmal treten kleine Veränderungen unbemerkt auf. Diese Routine-Untersuchung stellt sicher, dass alles im grünen Bereich bleibt.",Gynecologist (Frauenarzt),Frauenarzt,2-4 months,2-4 Monate,Yes,Yes
Genital Exam,A gentle physical check to ensure everything is functioning as it should. It’s the best way to detect any structural changes or infections before they cause discomfort.,"Eine sanfte Untersuchung, um sicherzustellen, dass alles so funktioniert, wie es soll. Der beste Weg, Veränderungen frühzeitig zu bemerken.",Gynecologist (Frauenarzt),Frauenarzt,2-4 months,2-4 Monate,Yes,Yes
Breast Palpation,"Starting at 30, your doctor helps you stay familiar with your body. Feeling for changes is a simple, proactive way to ensure your breast health is monitored between scans.","Ab 30 hilft Ihnen Ihr Arzt, Ihren Körper besser kennenzulernen. Das Abtasten ist ein einfacher Weg, um Ihre Brustgesundheit zwischen den Scans im Blick zu behalten.",Gynecologist (Frauenarzt),Frauenarzt,2-4 months,2-4 Monate,Yes,Yes
Skin Check,"Our skin 'remembers' every sunlit day. This head-to-toe check-up gives you the confidence that your beauty marks and moles are healthy, especially if you have a family history of light skin.","Unsere Haut vergisst keinen Sonnenstrahl. Dieser Ganzkörper-Check gibt Ihnen die Sicherheit, dass Ihre Muttermale gesund sind – besonders bei hellem Hauttyp in der Familie.",Dermatologist (Hautarzt) or certified GP,Hautarzt oder zertifizierter Hausarzt,3-6 months,3-6 Monate,Yes,Yes
HPV+Pap,"From age 35, we add an HPV test to your routine Pap smear. It’s the highest level of protection available, giving you dual-layered certainty about your cervical health.","Ab 35 ergänzen wir den Pap-Test um einen HPV-Test. Das ist die sicherste Vorsorge für den Muttermund, die Ihnen doppelte Gewissheit bietet.",Gynecologist (Frauenarzt),Frauenarzt,2-4 months,2-4 Monate,Yes,Yes
Mammography,"As tissue changes with age, X-rays are the most reliable way to see 'under the surface.' Every two years, this routine scan catches tiny hidden spots long before they can be felt.","Da sich das Gewebe im Alter verändert, ist Röntgen die sicherste Methode. Alle zwei Jahre findet dieser Scan kleinste Stellen, bevor man sie überhaupt tasten kann.",Radiologist (Mammographie-Zentrum),Radiologe (Mammographie-Zentrum),4-8 weeks,4-8 Wochen,Yes,Yes
Stool Test,"A simple, non-invasive check for your colon health. It looks for tiny invisible signs of blood, which is the best early warning system starting at age 50.","Ein einfacher, diskreter Test für Ihre Darmgesundheit. Er sucht nach unsichtbaren Spuren von Blut – das beste Frühwarnsystem ab 50 Jahren.",GP (Hausarzt) or Gynecologist,Hausarzt oder Frauenarzt,1-2 weeks,1-2 Wochen,Yes,Yes
Colonoscopy,This is the 'gold standard' for prevention. It doesn't just find problems—it can actually prevent cancer by removing tiny polyps during the exam. One check every 10 years is usually all it takes.,"Dies ist der Goldstandard der Vorsorge. Er findet Probleme nicht nur – er kann Krebs verhindern, indem Polypen direkt entfernt werden. Meist reicht eine Untersuchung alle 10 Jahre.",Gastroenterologist (Gastroenterologe),Gastroenterologe,3-6 months,3-6 Monate,Yes,Yes
